State;Reported;Total;Percentage_reporting
AK;14;16;87.5
AL;95;97;97.94
AR;75;91;82.42
AS;1;1;100
AZ;70;78;89.74
CA;347;357;97.2
CO;89;91;97.8
CT;32;32;100
DC;9;10;90
DE;8;8;100
FL;199;210;94.76
GA;136;146;93.15
GU;2;2;100
HI;23;25;92
IA;114;117;97.44
ID;42;45;93.33
IL;165;180;91.67
IN;123;127;96.85
KS;114;137;83.21
KY;96;100;96
LA;139;149;93.29
MA;70;74;94.59
MD;48;50;96
ME;33;33;100
MI;140;145;96.55
MN;125;126;99.21
MO;99;116;85.34
MS;97;101;96.04
MT;56;60;93.33
NC;109;112;97.32
ND;43;46;93.48
NE;92;96;95.83
NH;26;26;100
NJ;72;75;96
NM;39;40;97.5
NV;42;47;89.36
NY;158;166;95.18
OH;180;184;97.83
OK;110;131;83.97
OR;57;60;95
PA;170;188;90.43
PR;33;58;56.9
RI;11;11;100
SC;60;66;90.91
SD;57;57;100
TN;102;114;89.47
TX;431;468;92.09
UT;49;52;94.23
VA;85;89;95.51
VI;1;2;50
VT;14;14;100
WA;91;92;98.91
WI;130;133;97.74
WV;50;51;98.04
WY;26;26;100
zCW;4,799;5,128;93.58424336973479
